Session,Bedingung,Block,Runde im Block,Spieler 1,VP,Karte1 VP1,Karte2 VP1,Karte1 VP2,Karte2 VP2,Aktion,Zeit,Gewinner,Punktestand VP1,Punktestand VP2
14,no_pay,0,1,VP1,,11,8,8,9,Session,16:18:53.249,,,
14,no_pay,0,1,VP1,VP1,11,8,8,9,Start,16:18:54.399,,,
14,no_pay,0,1,VP1,VP2,11,8,8,9,Start,16:18:55.317,,,
14,no_pay,0,1,VP1,,11,8,8,9,Fixation Flash,16:19:00.416,,,
14,no_pay,0,1,VP1,,11,8,8,9,Fixation Ton,16:19:00.789,,,
14,no_pay,0,1,VP1,VP2,11,8,8,9,Start,16:19:07.509,,,
14,no_pay,0,1,VP1,VP1,11,8,8,9,Start,16:19:09.169,,,
14,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 1,16:19:10.190,,,
14,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 1,16:19:11.073,,,
14,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 2,16:19:11.981,,,
14,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 2,16:19:15.022,,,
14,no_pay,0,1,VP1,VP1,11,8,8,9,Mittel,16:19:15.910,,,
14,no_pay,0,1,VP1,VP2,11,8,8,9,Wahrheit,16:19:16.781,,,
14,no_pay,0,1,VP1,,11,8,8,9,Showdown,16:19:16.979,VP1,,
14,no_pay,0,1,VP1,VP1,11,8,8,9,Nächste Runde,16:19:17.624,,,
14,no_pay,0,1,VP1,VP2,11,8,8,9,Nächste Runde,16:19:18.697,,,
